Category,Country,State,Age,Gender,Before-Environment,Before-ClassworkStress,Before-HomeworkStress,Before-HomeworkHours,Now-Environment,Now-ClassworkStress,Now-HomeworkStress,Now-HomeworkHours,FamilyRelationships,FriendRelationships
SchoolCollegeTraining,US,,15.0,Female,Physical,2.0,1.0,0.0,Hybrid,5.0,5.0,3.0,3.0,-3.0
SchoolCollegeTraining,US,IN,16.0,,Physical,1.0,2.0,1.0,Virtual,6.0,6.0,2.0,1.0,-3.0
SchoolCollegeTraining,GB,,15.0,Male,Physical,3.0,4.0,1.0,Hybrid,5.0,5.0,1.0,-1.0,2.0
SchoolCollegeTraining,,,21.0,Male,Physical,2.0,5.0,4.0,Virtual,2.0,6.0,6.0,-1.0,1.0
SchoolCollegeTraining,US,PA,16.0,Male,Physical,2.0,2.0,1.0,Virtual  ,4.0,4.0,1.0,1.0,2.0
SchoolCollegeTraining,GB,,15.0,Male,Physical,3.0,4.0,2.0,Physical,5.0,4.0,3.0,1.0,2.0
SchoolCollegeTraining,US,AZ,19.0,Female,Hybrid,1.0,4.0,2.0,,2.0,5.0,5.0,0.0,0.0
SchoolCollegeTraining,US,NY  ,16.0,,Physical,6.0,4.0,2.0,,6.0,5.0,1.0,1.0,-3.0
SchoolCollegeTraining,MY,,20.0,Female,Physical,2.0,2.0,3.0,Virtual,4.0,4.0,4.0,0.0,-1.0
SchoolCollegeTraining,BD,,22.0,Female,Virtual,2.0,1.0,1.0,Virtual,3.0,3.0,1.0,2.0,0.0
SchoolCollegeTraining,FR,,21.0,Female,Physical,2.0,3.0,3.0,Virtual,2.0,4.0,4.0,1.0,-1.0
SchoolCollegeTraining,US,TX,14.0,Male,Physical,1.0,30.5,2.0,,3.0,5.0,4.5,2.0,-1.0
SchoolCollegeTraining,US,MD,13.0,Male,Physical,5.0,4.0,2.0,Virtual,3.0,5.0,2.5,1.0,-2.0
Homeschool,US,TX,16.0,Female,Virtual,1.0,3.0,10.0,Virtual,3.0,5.0,15.0,1.0,-1.0
SchoolCollegeTraining,US,GA,17.0,Male,Physical,4.0,4.0,6.0,Physical,5.0,1.0,6.0,0.0,-2.0
SchoolCollegeTraining,GB,,14.0,Male,Physical,3.0,4.0,28.0,Physical,5.0,5.0,6.0,0.0,1.0
,US,WV  ,17.0,,Physical,1.0,1.0,3.0,Virtual,5.0,6.0,14.0,2.0,-2.0
SchoolCollegeTraining,US,MO,18.0,Female,Physical,2.0,3.0,3.0,Virtual,3.0,5.0,6.0,-2.0,-1.0
SchoolCollegeTraining,US,PA,17.0,Male,Physical,1.0,3.0,3.0,Virtual,5.0,5.0,5.0,0.0,-3.0
